21XYZ10001,Ralf,Dunkersley,ralf.dunkersley@vitbhopal.ac.in,Male,55,99,67,62,41,60
21XYZ10002,Celestyna,Ingleston,celestyna.ingleston@vitbhopal.ac.in,Female,53,82,51,87,40,43
21XYZ10003,Abran,Boatwright,abran.boatwright@vitbhopal.ac.in,Male,86,42,59,45,41,99
21XYZ10004,Ashien,Thay,ashien.thay@vitbhopal.ac.in,Female,41,74,84,91,51,66
21XYZ10005,Meghann,Gibling,meghann.gibling@vitbhopal.ac.in,Female,50,50,89,54,95,44
21XYZ10006,Cecilio,Wynter,cecilio.wynter@vitbhopal.ac.in,Male,98,86,85,43,74,45
21XYZ10007,Neil,Bourhill,neil.bourhill@vitbhopal.ac.in,Male,44,61,53,70,65,84
21XYZ10008,Lyell,Bockett,lyell.bockett@vitbhopal.ac.in,Male,48,56,83,99,69,92
21XYZ10009,Goran,Ioan,goran.ioan@vitbhopal.ac.in,Male,91,64,92,64,49,45
21XYZ10010,Jacklyn,Smiz,jacklyn.smiz@vitbhopal.ac.in,Female,68,93,93,76,46,78
21XYZ10011,Sidney,Pardy,sidney.pardy@vitbhopal.ac.in,Female,70,71,87,47,55,54
21XYZ10012,Lay,Gowan,lay.gowan@vitbhopal.ac.in,Male,53,75,90,92,97,99
21XYZ10013,Glenda,Upston,glenda.upston@vitbhopal.ac.in,Female,67,73,44,48,62,74
21XYZ10014,Hilda,Potter,hilda.potter@vitbhopal.ac.in,Female,100,70,77,87,95,61
21XYZ10015,Lorena,McGready,lorena.mcgready@vitbhopal.ac.in,Female,74,68,63,45,87,70
21XYZ10016,Ned,Evesque,ned.evesque@vitbhopal.ac.in,Male,50,54,80,70,90,57
21XYZ10017,Piotr,Minot,piotr.minot@vitbhopal.ac.in,Male,72,57,50,67,52,89
21XYZ10018,Verla,Sciusscietto,verla.sciusscietto@vitbhopal.ac.in,Male,61,61,68,82,68,73
21XYZ10019,Tyrus,Browell,tyrus.browell@vitbhopal.ac.in,Male,85,76,57,46,48,50
21XYZ10020,Demeter,Lomas,demeter.lomas@vitbhopal.ac.in,Male,54,94,95,46,88,60
21XYZ10021,Tonnie,McGrudder,tonnie.mcgrudder@vitbhopal.ac.in,Male,87,69,55,47,58,81
21XYZ10022,Romola,Kerins,romola.kerins@vitbhopal.ac.in,Female,100,85,68,98,63,55
21XYZ10023,Marianne,Plampin,marianne.plampin@vitbhopal.ac.in,Female,84,71,87,40,96,74
21XYZ10024,Olwen,Ganniclifft,olwen.ganniclifft@vitbhopal.ac.in,Female,69,94,44,73,59,97
21XYZ10025,Lorne,Lyles,lorne.lyles@vitbhopal.ac.in,Female,42,97,70,59,90,64
21XYZ10026,Tobi,Bigland,tobi.bigland@vitbhopal.ac.in,Female,51,68,86,57,69,98
21XYZ10027,Putnem,Martins,putnem.martins@vitbhopal.ac.in,Male,100,74,65,79,46,68
21XYZ10028,Trumann,Reekie,trumann.reekie@vitbhopal.ac.in,Male,66,42,95,86,75,49
21XYZ10029,Jeramey,Jaksic,jeramey.jaksic@vitbhopal.ac.in,Male,69,86,75,74,87,94
21XYZ10030,Hadleigh,Pavyer,hadleigh.pavyer@vitbhopal.ac.in,Male,44,63,89,44,52,78
21XYZ10031,Townsend,Umbert,townsend.umbert@vitbhopal.ac.in,Female,71,44,54,63,97,68
21XYZ10032,Adelbert,Carmody,adelbert.carmody@vitbhopal.ac.in,Male,96,42,56,90,57,62
