21XYZ10001,Ralf,Dunkersley,ralf.dunkersley@vitbhopal.ac.in,Male,55,99,67,62,41,60,82,77,68,67,78,78
21XYZ10002,Celestyna,Ingleston,celestyna.ingleston@vitbhopal.ac.in,Female,53,82,51,87,40,43,79,92,63,99,91,90
21XYZ10003,Abran,Boatwright,abran.boatwright@vitbhopal.ac.in,Male,86,42,59,45,41,99,85,92,74,77,81,84
21XYZ10004,Ashien,Thay,ashien.thay@vitbhopal.ac.in,Female,41,74,84,91,51,66,83,96,96,100,80,97
21XYZ10005,Meghann,Gibling,meghann.gibling@vitbhopal.ac.in,Female,50,50,89,54,95,44,99,74,91,91,74,66
21XYZ10006,Cecilio,Wynter,cecilio.wynter@vitbhopal.ac.in,Male,98,86,85,43,74,45,70,83,96,100,85,91
21XYZ10007,Neil,Bourhill,neil.bourhill@vitbhopal.ac.in,Male,44,61,53,70,65,84,84,99,76,79,89,88
21XYZ10008,Lyell,Bockett,lyell.bockett@vitbhopal.ac.in,Male,48,56,83,99,69,92,79,73,99,95,90,95
21XYZ10009,Goran,Ioan,goran.ioan@vitbhopal.ac.in,Male,91,64,92,64,49,45,84,99,71,60,95,100
21XYZ10010,Jacklyn,Smiz,jacklyn.smiz@vitbhopal.ac.in,Female,68,93,93,76,46,78,64,73,88,98,100,98
21XYZ10011,Sidney,Pardy,sidney.pardy@vitbhopal.ac.in,Female,70,71,87,47,55,54,80,71,94,86,98,94
21XYZ10012,Lay,Gowan,lay.gowan@vitbhopal.ac.in,Male,53,75,90,92,97,99,82,91,90,68,95,61
21XYZ10013,Glenda,Upston,glenda.upston@vitbhopal.ac.in,Female,67,73,44,48,62,74,68,72,69,60,80,95
21XYZ10014,Hilda,Potter,hilda.potter@vitbhopal.ac.in,Female,100,70,77,87,95,61,67,96,65,78,76,85
21XYZ10015,Lorena,McGready,lorena.mcgready@vitbhopal.ac.in,Female,74,68,63,45,87,70,75,100,75,94,67,93
21XYZ10016,Ned,Evesque,ned.evesque@vitbhopal.ac.in,Male,50,54,80,70,90,57,94,89,71,67,79,82
21XYZ10017,Piotr,Minot,piotr.minot@vitbhopal.ac.in,Male,72,57,50,67,52,89,69,65,75,73,76,100
